kmeans_labels,Driver,LapNumber,Team,LapTime_Sec,Position,Compound,Sector1Time_Sec,Sector2Time_Sec,Sector3Time_Sec,TyreLife,TrackTemp,SpeedST,Compound_Num,pca_x,pca_y
0,RUS,3.0,Mercedes,76.576,6.0,MEDIUM,26.403,27.526,22.647,3.0,28.9,301.0,2,0.11717149312391853,0.2188183647474507
0,HAM,3.0,Ferrari,76.449,7.0,MEDIUM,26.112,27.692,22.645,3.0,28.9,305.0,2,0.11115593528316077,0.2190941470192453
0,LAW,3.0,Racing Bulls,76.709,8.0,MEDIUM,26.189,27.514,23.006,3.0,28.9,308.0,2,0.11030784743398755,0.22014340391293047
0,SAI,3.0,Williams,76.751,9.0,MEDIUM,26.147,27.751,22.853,3.0,28.9,293.0,2,0.13247484979987753,0.22040244954785143
0,ALB,3.0,Williams,76.823,10.0,MEDIUM,26.172,27.707,22.944,3.0,28.9,304.0,2,0.11767191318304043,0.2205127563002931
0,TSU,3.0,Red Bull Racing,76.837,11.0,SOFT,26.316,27.784,22.737,3.0,28.9,288.0,1,0.1470847409788121,0.0411469409926693
0,ANT,3.0,Mercedes,76.637,12.0,MEDIUM,25.977,27.948,22.712,3.0,28.9,323.0,2,0.08876109153109316,0.2198187048606271
0,ALO,3.0,Aston Martin,76.875,13.0,MEDIUM,26.257,27.669,22.949,3.0,28.9,299.0,2,0.1251197063292125,0.2205436853687579
0,GAS,3.0,Alpine,76.704,14.0,MEDIUM,26.071,27.735,22.898,3.0,28.9,303.0,2,0.11792820350023957,0.2203545078948173
0,COL,3.0,Alpine,76.743,15.0,SOFT,26.382,27.546,22.815,3.0,28.9,299.0,1,0.12974820281986535,0.04062850054936751
0,OCO,3.0,Haas F1 Team,77.406,17.0,HARD,26.994,27.413,22.999,3.0,28.9,320.0,3,0.09159678775929474,0.3990759794517083
0,HUL,3.0,Kick Sauber,76.66,16.0,SOFT,26.335,27.388,22.937,3.0,28.9,330.0,1,0.08456014208639791,0.04017495227215517
0,BOR,3.0,Kick Sauber,78.142,19.0,MEDIUM,26.481,27.937,23.724,3.0,28.9,314.0,2,0.12065545767500933,0.22468530529133518
0,STR,3.0,Aston Martin,77.336,18.0,MEDIUM,26.335,27.701,23.3,3.0,28.9,301.0,2,0.1284975776746633,0.22220769528298556
0,BEA,3.0,Haas F1 Team,77.112,20.0,HARD,26.188,27.763,23.161,3.0,28.9,303.0,3,0.11599565636068702,0.40068399210328376
0,PIA,4.0,McLaren,75.46,1.0,MEDIUM,25.789,26.83,22.841,4.0,28.8,284.0,2,0.12831343067153572,0.2350344085096604
0,VER,4.0,Red Bull Racing,75.816,2.0,SOFT,25.638,27.353,22.825,4.0,28.8,289.0,1,0.13407458257972737,0.057388411372964354
0,NOR,4.0,McLaren,76.04,3.0,MEDIUM,25.808,27.482,22.75,4.0,28.8,278.0,2,0.14484504372648255,0.2367316265130457
0,HAD,4.0,Racing Bulls,76.077,4.0,MEDIUM,25.855,27.557,22.665,4.0,28.8,293.0,2,0.12362123672285855,0.23637667867540457
0,LEC,4.0,Ferrari,76.342,5.0,MEDIUM,26.268,27.507,22.567,4.0,28.8,299.0,2,0.11658449749375241,0.23592462816342152
0,RUS,4.0,Mercedes,76.471,6.0,MEDIUM,26.398,27.401,22.672,4.0,28.8,311.0,2,0.10062118229502243,0.23594963035753103
0,HAM,4.0,Ferrari,76.57,7.0,MEDIUM,26.331,27.56,22.679,4.0,28.8,294.0,2,0.12666199251720256,0.23669571127310962
0,LAW,4.0,Racing Bulls,76.372,8.0,MEDIUM,26.084,27.48,22.808,4.0,28.8,310.0,2,0.10234260859100305,0.23663543698543082
0,SAI,4.0,Williams,76.813,9.0,MEDIUM,26.189,27.782,22.842,4.0,28.8,305.0,2,0.11513649654353943,0.2378466625300522
0,ALB,4.0,Williams,76.89,10.0,MEDIUM,26.231,27.822,22.837,4.0,28.8,307.0,2,0.11313476147132381,0.23793899446771138
0,TSU,4.0,Red Bull Racing,77.028,11.0,SOFT,26.31,28.032,22.686,4.0,28.8,283.0,1,0.15608291427629092,0.05931720490896514
0,ANT,4.0,Mercedes,77.032,12.0,MEDIUM,26.162,27.997,22.873,4.0,28.8,309.0,2,0.11262817552466167,0.23856468756612753
0,ALO,4.0,Aston Martin,77.125,13.0,MEDIUM,26.132,27.86,23.133,4.0,28.8,302.0,2,0.12423767667913507,0.239389175049522
0,GAS,4.0,Alpine,77.528,14.0,MEDIUM,26.161,27.956,23.411,4.0,28.8,301.0,2,0.13130434052203985,0.24094560578636848
0,COL,4.0,Alpine,77.121,15.0,SOFT,26.317,27.79,23.014,4.0,28.8,287.0,1,0.15181016885923876,0.05997006943624683
0,HUL,4.0,Kick Sauber,77.25,16.0,SOFT,26.317,27.814,23.119,4.0,28.8,302.0,1,0.13221721387537694,0.06027423482940819
0,OCO,4.0,Haas F1 Team,77.192,17.0,HARD,26.364,27.812,23.016,4.0,28.8,295.0,3,0.126756124000365,0.41797645121934424
0,STR,4.0,Aston Martin,76.491,18.0,MEDIUM,26.182,27.498,22.811,4.0,28.8,304.0,2,0.11208888375131607,0.2368517502420136
0,BOR,4.0,Kick Sauber,77.139,19.0,MEDIUM,26.461,27.738,22.94,4.0,28.8,289.0,2,0.14124416280662638,0.23854625521233086
0,BEA,4.0,Haas F1 Team,77.026,20.0,HARD,26.252,27.617,23.157,4.0,28.8,302.0,3,0.11507590085215966,0.4178325146543349
0,PIA,5.0,McLaren,75.374,1.0,MEDIUM,25.633,27.103,22.638,5.0,27.8,287.0,2,0.1316163365825289,0.3213608340999995
0,VER,5.0,Red Bull Racing,75.946,2.0,SOFT,25.78,27.305,22.861,5.0,27.8,292.0,1,0.13901305579861,0.1439553322185963
0,NOR,5.0,McLaren,75.845,3.0,MEDIUM,25.617,27.519,22.709,5.0,27.8,285.0,2,0.14117459226217033,0.3229710473792259
0,HAD,5.0,Racing Bulls,76.0,4.0,MEDIUM,25.76,27.557,22.683,5.0,27.8,285.0,2,0.1425969478268549,0.32305140946918975
0,LEC,5.0,Ferrari,76.038,5.0,MEDIUM,25.967,27.413,22.658,5.0,27.8,297.0,2,0.12489808130150681,0.3224271115831632
0,RUS,5.0,Mercedes,76.094,6.0,MEDIUM,26.022,27.406,22.666,5.0,27.8,311.0,2,0.10538163496234794,0.3222529542485274
0,HAM,5.0,Ferrari,76.432,7.0,MEDIUM,26.2,27.394,22.838,5.0,27.8,291.0,2,0.13789754311121807,0.3233885768645559
0,LAW,5.0,Racing Bulls,76.408,8.0,MEDIUM,26.191,27.476,22.741,5.0,27.8,311.0,2,0.10894886320039344,0.3228928598439398
0,SAI,5.0,Williams,76.804,9.0,MEDIUM,26.247,27.541,23.016,5.0,27.8,290.0,2,0.14438336190423096,0.3246683302347358
0,ALB,5.0,Williams,77.083,10.0,MEDIUM,26.243,27.911,22.929,5.0,27.8,293.0,2,0.14395942117122812,0.32536673154239903
0,TSU,5.0,Red Bull Racing,76.918,11.0,SOFT,26.232,28.051,22.635,5.0,27.8,294.0,1,0.14729811594670025,0.1454573394121107
0,ANT,5.0,Mercedes,77.06,12.0,MEDIUM,26.087,28.146,22.827,5.0,27.8,312.0,2,0.1171995964453207,0.32525149361253414
0,ALO,5.0,Aston Martin,77.019,13.0,MEDIUM,26.148,27.779,23.092,5.0,27.8,314.0,2,0.11360616228253863,0.32530387826305135
0,GAS,5.0,Alpine,77.542,15.0,MEDIUM,26.792,27.689,23.061,5.0,27.8,322.0,2,0.10617450930368662,0.3251226655237792
0,COL,5.0,Alpine,76.606,14.0,SOFT,26.059,27.703,22.844,5.0,27.8,325.0,1,0.09960248151782945,0.14473761543764846
0,HUL,5.0,Kick Sauber,77.351,16.0,SOFT,26.731,27.774,22.846,5.0,27.8,302.0,1,0.13948383301386003,0.1456949026413954
1,OCO,5.0,Haas F1 Team,77.541,17.0,HARD,26.552,28.103,22.886,5.0,27.8,293.0,3,0.1415758647654352,0.5049496773155635
0,STR,5.0,Aston Martin,77.4,18.0,MEDIUM,26.355,28.025,23.02,5.0,27.8,303.0,2,0.13356513564518246,0.3260244855901585
0,BOR,5.0,Kick Sauber,77.395,19.0,MEDIUM,26.44,28.006,22.949,5.0,27.8,310.0,2,0.12301140617269528,0.3255897116976372
1,BEA,5.0,Haas F1 Team,76.941,20.0,HARD,26.174,27.782,22.985,5.0,27.8,303.0,3,0.12087410696361829,0.5040399846020218
0,PIA,6.0,McLaren,75.251,1.0,MEDIUM,25.673,27.006,22.572,6.0,27.5,287.0,2,0.13082282382587118,0.35368051689949187
0,VER,6.0,Red Bull Racing,75.748,2.0,SOFT,25.826,27.164,22.758,6.0,27.5,294.0,1,0.13426049230923448,0.17594859076965996
0,NOR,6.0,McLaren,75.552,3.0,MEDIUM,25.486,27.307,22.759,6.0,27.5,289.0,2,0.13322158329818568,0.3552951861129947
0,HAD,6.0,Racing Bulls,75.905,4.0,MEDIUM,25.601,27.634,22.67,6.0,27.5,292.0,2,0.1332246287480435,0.35591896737154555
0,LEC,6.0,Ferrari,75.869,5.0,MEDIUM,25.962,27.338,22.569,6.0,27.5,306.0,2,0.11080607401983433,0.35454687331639123
0,RUS,6.0,Mercedes,75.962,6.0,MEDIUM,25.937,27.378,22.647,6.0,27.5,316.0,2,0.09797348373390179,0.3548447033470885
0,HAM,6.0,Ferrari,75.684,7.0,MEDIUM,25.949,27.151,22.584,6.0,27.5,291.0,2,0.12975100677567575,0.35426784596804506
0,LAW,6.0,Racing Bulls,76.433,8.0,MEDIUM,26.078,27.435,22.92,6.0,27.5,309.0,2,0.11399862723762415,0.3564152843240934
0,SAI,6.0,Williams,76.515,9.0,MEDIUM,26.15,27.45,22.915,6.0,27.5,295.0,2,0.13479780447288736,0.35669751165094765
0,ALB,6.0,Williams,76.633,10.0,MEDIUM,26.107,27.639,22.887,6.0,27.5,295.0,2,0.1366482195565213,0.35712831216463004
0,TSU,6.0,Red Bull Racing,76.696,11.0,SOFT,26.291,27.815,22.59,6.0,27.5,276.0,1,0.17078166573508666,0.17773605472537263
0,ANT,6.0,Mercedes,76.671,12.0,MEDIUM,26.147,27.778,22.746,6.0,27.5,305.0,2,0.12259348214978208,0.3567955305709063
0,ALO,6.0,Aston Martin,76.748,13.0,MEDIUM,26.202,27.6,22.946,6.0,27.5,310.0,2,0.1163507387035909,0.35708853172546917
0,COL,6.0,Alpine,76.9,14.0,SOFT,26.301,27.89,22.709,6.0,27.5,309.0,1,0.12644885164764746,0.1779828173855928
0,GAS,6.0,Alpine,76.69,15.0,MEDIUM,26.126,27.695,22.869,6.0,27.5,308.0,2,0.1187443378640471,0.3570275818084475
0,HUL,6.0,Kick Sauber,76.598,16.0,SOFT,26.104,27.705,22.789,6.0,27.5,314.0,1,0.11612795320768536,0.17758358542437747
1,OCO,6.0,Haas F1 Team,76.694,17.0,HARD,26.24,27.589,22.865,6.0,27.5,306.0,3,0.11389585219292868,0.535794244892562
0,STR,6.0,Aston Martin,76.934,18.0,MEDIUM,26.322,27.782,22.83,6.0,27.5,301.0,2,0.13114410793176512,0.3573390189468361
0,BOR,6.0,Kick Sauber,76.775,19.0,MEDIUM,26.202,27.729,22.844,6.0,27.5,305.0,2,0.12382125885864247,0.3571098821261298
1,BEA,6.0,Haas F1 Team,77.15,20.0,HARD,26.363,27.682,23.105,6.0,27.5,300.0,3,0.12835422149303122,0.5373033413800804
0,PIA,7.0,McLaren,75.208,1.0,MEDIUM,25.577,26.951,22.68,7.0,27.5,284.0,2,0.13324773014357355,0.3638838878839676
0,VER,7.0,Red Bull Racing,75.648,2.0,SOFT,25.58,27.278,22.79,7.0,27.5,290.0,1,0.13803958380282394,0.186265397537974
0,NOR,7.0,McLaren,75.236,3.0,MEDIUM,25.443,27.175,22.618,7.0,27.5,291.0,2,0.12427345183561486,0.3641116251660909
0,HAD,7.0,Racing Bulls,75.589,4.0,MEDIUM,25.466,27.501,22.622,7.0,27.5,295.0,2,0.12336660987306007,0.36507757838342125
0,LEC,7.0,Ferrari,75.362,5.0,MEDIUM,25.861,27.084,22.417,7.0,27.5,310.0,2,0.09661936250166928,0.3628778042035693
0,RUS,7.0,Mercedes,76.007,6.0,MEDIUM,25.82,27.383,22.804,7.0,27.5,320.0,2,0.09174995283678095,0.3653277831694629
0,HAM,7.0,Ferrari,76.036,7.0,MEDIUM,25.946,27.467,22.623,7.0,27.5,303.0,2,0.1157258121595296,0.365118702825283
0,LAW,7.0,Racing Bulls,76.237,8.0,MEDIUM,25.95,27.248,23.039,7.0,27.5,301.0,2,0.12160734129641722,0.36632363103520826
0,SAI,7.0,Williams,76.345,9.0,MEDIUM,26.035,27.44,22.87,7.0,27.5,298.0,2,0.12687830685993073,0.36625700953196705
0,ALB,7.0,Williams,76.57,10.0,MEDIUM,25.968,27.756,22.846,7.0,27.5,299.0,2,0.12891678025091857,0.36706540084793554
0,TSU,7.0,Red Bull Racing,76.636,11.0,SOFT,26.103,27.964,22.569,7.0,27.5,286.0,1,0.15477120425498106,0.18773885086680064
0,ANT,7.0,Mercedes,76.701,12.0,MEDIUM,26.022,27.933,22.746,7.0,27.5,306.0,2,0.12040320673541827,0.367085070806051
0,ALO,7.0,Aston Martin,76.789,13.0,MEDIUM,26.153,27.809,22.827,7.0,27.5,307.0,2,0.1195812973535868,0.3671210125268103
0,COL,7.0,Alpine,76.696,14.0,SOFT,26.161,27.769,22.766,7.0,27.5,303.0,1,0.13111141263309692,0.18778082269056895
0,GAS,7.0,Alpine,76.734,15.0,MEDIUM,26.018,27.786,22.93,7.0,27.5,303.0,2,0.1252789131180002,0.36749438115031013
0,HUL,7.0,Kick Sauber,77.08,16.0,SOFT,26.478,27.674,22.928,7.0,27.5,301.0,1,0.1378130348788858,0.18841397597253845
1,OCO,7.0,Haas F1 Team,77.064,17.0,HARD,26.392,27.758,22.914,7.0,27.5,304.0,3,0.1193626547120525,0.5465437637051735
0,STR,7.0,Aston Martin,77.08,18.0,MEDIUM,26.258,27.999,22.823,7.0,27.7,303.0,2,0.1268430584929239,0.35248094268361974
0,BOR,7.0,Kick Sauber,77.01,19.0,MEDIUM,26.225,27.967,22.818,7.0,27.7,312.0,2,0.11315861038401133,0.35220205404677074
1,BEA,7.0,Haas F1 Team,76.961,20.0,HARD,26.018,27.873,23.07,7.0,27.7,302.0,3,0.12078879097136057,0.5320861594367278
0,PIA,8.0,McLaren,75.271,1.0,MEDIUM,25.547,27.121,22.603,8.0,27.7,288.0,2,0.12471491336362694,0.3585595899461979
0,VER,8.0,Red Bull Racing,75.753,2.0,SOFT,25.658,27.421,22.674,8.0,27.7,291.0,1,0.13381267467714622,0.18079238940999665
0,NOR,8.0,McLaren,75.13,3.0,MEDIUM,25.47,27.296,22.364,8.0,27.7,292.0,2,0.11728184666589889,0.3579320251833811
0,HAD,8.0,Racing Bulls,75.539,4.0,MEDIUM,25.464,27.455,22.62,8.0,27.7,292.0,2,0.12316760580265271,0.35954891937126454
0,LEC,8.0,Ferrari,75.784,5.0,MEDIUM,25.939,27.195,22.65,8.0,27.7,306.0,2,0.10416681691172673,0.3589301529158384
0,RUS,8.0,Mercedes,75.957,6.0,MEDIUM,25.744,27.349,22.864,8.0,27.7,307.0,2,0.10626453224044587,0.3602255506750381
0,HAM,8.0,Ferrari,75.962,7.0,MEDIUM,25.826,27.457,22.679,8.0,27.7,300.0,2,0.1158244900528471,0.35989173670397545
0,LAW,8.0,Racing Bulls,76.203,8.0,MEDIUM,25.867,27.388,22.948,8.0,27.7,299.0,2,0.12056312523546149,0.36090985493139904
0,SAI,8.0,Williams,76.204,9.0,MEDIUM,25.865,27.481,22.858,8.0,27.7,297.0,2,0.1233968834058779,0.3608261836472698
0,ALB,8.0,Williams,76.641,10.0,MEDIUM,25.917,27.836,22.888,8.0,27.7,300.0,2,0.12496034065324035,0.3620276977044774
0,TSU,8.0,Red Bull Racing,77.034,11.0,SOFT,26.183,27.949,22.902,8.0,27.7,298.0,1,0.13914621824285384,0.183599532747466
0,ANT,8.0,Mercedes,76.739,12.0,MEDIUM,25.929,27.888,22.922,8.0,27.7,307.0,2,0.1162752532388836,0.3622347680668906
0,ALO,8.0,Aston Martin,76.726,13.0,MEDIUM,26.14,27.667,22.919,8.0,27.7,313.0,2,0.10643775238217953,0.3615680591845237
0,COL,8.0,Alpine,76.742,14.0,SOFT,26.133,27.858,22.751,8.0,27.7,308.0,1,0.12093585172410623,0.1824685707977961
0,GAS,8.0,Alpine,76.766,15.0,MEDIUM,26.031,27.78,22.955,8.0,27.7,310.0,2,0.11186152909676012,0.36205988314027304
0,HUL,8.0,Kick Sauber,76.748,16.0,SOFT,26.15,27.637,22.961,8.0,27.7,307.0,1,0.12248201458833462,0.18274686381734012
1,OCO,8.0,Haas F1 Team,76.673,17.0,HARD,26.093,27.566,23.014,8.0,27.7,309.0,3,0.10452845113951727,0.540730476116421
0,STR,8.0,Aston Martin,79.763,20.0,MEDIUM,26.103,27.744,25.916,8.0,27.7,310.0,2,0.1550133632062239,0.3750997852862459
0,BOR,8.0,Kick Sauber,76.684,18.0,MEDIUM,26.151,27.775,22.758,8.0,27.7,314.0,2,0.10427423476646529,0.36117629823461794
1,BEA,8.0,Haas F1 Team,76.819,19.0,HARD,26.048,27.688,23.083,8.0,27.7,308.0,3,0.10826499813811685,0.5414001612294344
0,PIA,9.0,McLaren,75.021,1.0,MEDIUM,25.409,27.019,22.593,9.0,27.5,291.0,2,0.1178011975424828,0.3833042608669931
0,VER,9.0,Red Bull Racing,76.606,3.0,SOFT,26.321,27.522,22.763,9.0,27.5,301.0,1,0.12827087148023697,0.20693090352513976
0,NOR,9.0,McLaren,75.061,2.0,MEDIUM,25.324,27.022,22.715,9.0,27.5,315.0,2,0.08453534972027493,0.38343183646566825
0,HAD,9.0,Racing Bulls,75.6,4.0,MEDIUM,25.456,27.431,22.713,9.0,27.5,298.0,2,0.1157026737757002,0.38501353117716797
0,LEC,9.0,Ferrari,75.97,5.0,MEDIUM,25.841,27.241,22.888,9.0,27.5,305.0,2,0.10899833380142739,0.3853105403219519
0,RUS,9.0,Mercedes,75.985,6.0,MEDIUM,25.699,27.36,22.926,9.0,27.5,308.0,2,0.1056606127819999,0.3857176380158726
0,HAM,9.0,Ferrari,75.856,7.0,MEDIUM,25.855,27.24,22.761,9.0,27.5,305.0,2,0.10726369139217089,0.384752917580762
0,LAW,9.0,Racing Bulls,76.153,8.0,MEDIUM,25.935,27.265,22.953,9.0,27.5,302.0,2,0.11540288159047024,0.3857706794743268
0,SAI,9.0,Williams,76.292,9.0,MEDIUM,25.659,27.699,22.934,9.0,27.5,296.0,2,0.1273177553104214,0.3869560472452946
0,ALB,9.0,Williams,76.511,10.0,MEDIUM,25.871,27.799,22.841,9.0,27.5,301.0,2,0.12209386887520085,0.3868896784237582
0,TSU,9.0,Red Bull Racing,76.736,11.0,SOFT,26.013,27.869,22.854,9.0,27.5,297.0,1,0.1374244711056262,0.20828804325855332
0,ANT,9.0,Mercedes,76.651,12.0,MEDIUM,26.01,27.849,22.792,9.0,27.5,299.0,2,0.12617459274744944,0.3869339532247241
0,ALO,9.0,Aston Martin,76.733,13.0,MEDIUM,26.041,27.762,22.93,9.0,27.5,308.0,2,0.11436777223748634,0.38715527431221775
0,COL,9.0,Alpine,76.788,14.0,SOFT,26.193,27.759,22.836,9.0,27.5,298.0,1,0.13579483527852843,0.20795562820061192
0,GAS,9.0,Alpine,76.843,15.0,MEDIUM,26.06,27.853,22.93,9.0,27.5,307.0,2,0.11723726188382452,0.38745997859774994
0,HUL,9.0,Kick Sauber,76.9,16.0,SOFT,26.15,27.794,22.956,9.0,27.5,310.0,1,0.12048232659143233,0.20838292204621472
1,OCO,9.0,Haas F1 Team,77.085,17.0,HARD,26.38,27.765,22.94,9.0,27.5,302.0,3,0.11896294296439097,0.5665045977759513
0,BOR,9.0,Kick Sauber,76.593,18.0,MEDIUM,25.87,27.742,22.981,9.0,27.5,311.0,2,0.10902066849610063,0.38717836578548953
1,BEA,9.0,Haas F1 Team,76.801,19.0,HARD,25.954,27.777,23.07,9.0,27.5,304.0,3,0.11437674775744755,0.5668498992035814
1,STR,9.0,Aston Martin,91.542,20.0,HARD,42.282,26.437,22.823,1.0,27.5,310.0,3,0.24296636912258912,0.4913995898340536
0,PIA,10.0,McLaren,75.117,1.0,MEDIUM,25.49,27.0,22.627,10.0,27.8,292.0,2,0.11252505764610819,0.3703388520207508
0,NOR,10.0,McLaren,74.777,2.0,MEDIUM,25.279,26.928,22.57,10.0,27.8,289.0,2,0.11310922252799704,0.3697961151028339
0,VER,10.0,Red Bull Racing,75.8,3.0,SOFT,25.731,27.29,22.779,10.0,27.8,290.0,1,0.13096512601135202,0.19304970485294787
0,HAD,10.0,Racing Bulls,76.075,4.0,MEDIUM,25.69,27.669,22.716,10.0,27.8,292.0,2,0.12493441377440398,0.3728915914474999
0,LEC,10.0,Ferrari,75.546,5.0,MEDIUM,25.745,27.172,22.629,10.0,27.8,299.0,2,0.10720784274929293,0.3709060929915864
0,RUS,10.0,Mercedes,76.096,6.0,MEDIUM,25.762,27.393,22.941,10.0,27.8,305.0,2,0.10639562097521063,0.37287978072488287
0,HAM,10.0,Ferrari,76.114,7.0,MEDIUM,25.95,27.421,22.743,10.0,27.8,295.0,2,0.11988142795794554,0.3723490221087271
0,LAW,10.0,Racing Bulls,76.353,8.0,MEDIUM,26.005,27.551,22.797,10.0,27.8,297.0,2,0.12010883670102827,0.3729852931411749
0,SAI,10.0,Williams,76.185,9.0,MEDIUM,25.856,27.474,22.855,10.0,27.8,296.0,2,0.11998377930679703,0.3729395196655532
0,ALB,10.0,Williams,76.635,10.0,MEDIUM,25.857,27.893,22.885,10.0,27.8,297.0,2,0.12484853796800388,0.37433995169871864
0,TSU,10.0,Red Bull Racing,76.791,11.0,SOFT,25.896,27.847,23.048,10.0,27.8,303.0,1,0.1255219145818653,0.19583420762111364
0,ANT,10.0,Mercedes,76.693,12.0,MEDIUM,26.176,27.678,22.839,10.0,27.8,315.0,2,0.0982661779197575,0.3733736360669767
0,ALO,10.0,Aston Martin,76.843,13.0,MEDIUM,26.014,27.878,22.951,10.0,27.8,320.0,2,0.09409643223680915,0.3743140424879729
0,COL,10.0,Alpine,76.981,14.0,SOFT,26.16,27.76,23.061,10.0,27.8,311.0,1,0.11539788043891888,0.1956466572549136
0,GAS,10.0,Alpine,77.026,15.0,MEDIUM,26.025,27.918,23.083,10.0,27.8,308.0,2,0.11383292398270245,0.3752143958764225
0,HUL,10.0,Kick Sauber,77.065,16.0,SOFT,26.425,27.628,23.012,10.0,27.8,306.0,1,0.12234668352139631,0.19525036986791994
1,OCO,10.0,Haas F1 Team,77.072,17.0,HARD,26.204,27.818,23.05,10.0,27.8,304.0,3,0.11208441886387871,0.5539382312175397
0,BOR,10.0,Kick Sauber,77.333,18.0,MEDIUM,26.204,27.988,23.141,10.0,27.8,315.0,2,0.10723036762945937,0.3756752700463902
1,BEA,10.0,Haas F1 Team,76.73,19.0,HARD,25.89,27.761,23.079,10.0,27.8,307.0,3,0.10463161222590005,0.553671494941314
1,STR,10.0,Aston Martin,75.242,20.0,HARD,25.784,26.599,22.859,2.0,27.7,302.0,3,0.1069306627169616,0.4776231195574403
0,PIA,11.0,McLaren,74.901,1.0,MEDIUM,25.409,26.962,22.53,11.0,27.7,293.0,2,0.10761451414622122,0.3872947304336416
0,NOR,11.0,McLaren,74.708,2.0,MEDIUM,25.254,26.882,22.572,11.0,27.7,293.0,2,0.1057316392831766,0.3871499959774455
0,VER,11.0,Red Bull Racing,75.927,3.0,SOFT,25.646,27.485,22.796,11.0,27.7,294.0,1,0.12663776325202586,0.2111745499926201
0,HAD,11.0,Racing Bulls,75.877,4.0,MEDIUM,25.582,27.528,22.767,11.0,27.7,292.0,2,0.1219263048621964,0.3901881213562135
